str_id,numatom,energy,finalspacegroup,E-Emin,E_form_fu
POSCAR_24_atoms_24_638,24,-9.306478205833333,6,0.4574227716666677,0.9238769216666682
POSCAR_24_atoms_24_877,24,-9.306322490416667,1,0.4575784870833335,0.9241883524999999
POSCAR_24_atoms_24_474,24,-9.306151934166666,1,0.4577490433333349,0.9245294650000027
POSCAR_24_atoms_24_1106,24,-9.30579072875,1,0.4581102487499997,0.9252518758333323
POSCAR_24_atoms_24_214,24,-9.30517336125,1,0.45872761625,0.926486610833333
POSCAR_24_atoms_24_1179,24,-9.304063770833332,1,0.4598372066666681,0.928705791666669
POSCAR_24_atoms_24_1046,24,-9.303911632083333,1,0.4599893454166679,0.9290100691666687
POSCAR_24_atoms_24_752,24,-9.303782607916666,1,0.4601183695833342,0.9292681175000013
POSCAR_24_atoms_24_1123,24,-9.303451425833334,1,0.4604495516666667,0.9299304816666663
POSCAR_24_atoms_24_970,24,-9.302601332916668,1,0.4612996445833328,0.9316306674999986
POSCAR_24_atoms_24_718,24,-9.302183510833332,1,0.4617174666666681,0.9324663116666692
POSCAR_24_atoms_24_181,24,-9.301713754583334,1,0.4621872229166666,0.9334058241666661
POSCAR_24_atoms_24_118,24,-9.301265119583332,1,0.4626358579166681,0.934303094166669
POSCAR_24_atoms_24_1042,24,-9.30099951875,1,0.4629014587500002,0.9348342958333333
POSCAR_24_atoms_24_944,24,-9.300644629583333,1,0.4632563479166674,0.9355440741666676
POSCAR_24_atoms_24_480,24,-9.299322755,1,0.4645782225000002,0.9381878233333332
POSCAR_24_atoms_24_1028,24,-9.298964344166668,1,0.4649366333333322,0.9389046449999974
POSCAR_24_atoms_24_431,24,-9.298791723333332,1,0.4651092541666682,0.9392498866666692
POSCAR_24_atoms_24_1079,24,-9.298511122916667,1,0.4653898545833339,0.9398110875000008
POSCAR_24_atoms_24_1155,24,-9.2984494475,1,0.46545153000000106,0.939934438333335
POSCAR_24_atoms_24_414,24,-9.29732029375,1,0.46658068375000106,0.942192745833335
POSCAR_24_atoms_24_251,24,-9.297095169583333,1,0.4668058079166677,0.9426429941666683
POSCAR_24_atoms_24_323,24,-9.295277579166667,1,0.4686233983333334,0.9462781749999998
POSCAR_24_atoms_24_500,24,-9.295143591666667,1,0.4687573858333334,0.9465461499999996
POSCAR_24_atoms_24_860,24,-9.29469275,1,0.4692082275000011,0.9474478333333352
POSCAR_24_atoms_24_539,24,-9.2942198825,1,0.4696810950000003,0.9483935683333335
POSCAR_24_atoms_24_33,24,-9.294050203333333,1,0.4698507741666678,0.9487329266666684
POSCAR_24_atoms_24_1149,24,-9.29403776125,1,0.4698632162500012,0.9487578108333352
POSCAR_24_atoms_24_437,24,-9.293979260416666,1,0.4699217170833343,0.9488748125000015
POSCAR_24_atoms_24_1104,24,-9.29316823125,1,0.4707327462500004,0.9504968708333337
